"","id","Sexo","AEO01","AEO02","AEO03","AEO04","AEO05","AEO06","ACSF01","ACSF02","ACSF03","ACSF04","ACSF05","ACSF06","ACSF07","ACSF08","ACSF09","ACSF10","ACSF11","ACSF12","ACSF13","ACP01","ACP02","ACP03","ACP04","ACP05","ACP06","ACP07","ACP08","ACP09","ACP10","ACP11","ACP12","ACP13","ACP14","PPC01","PPC02","PPC03","PPC04","PPC05","PPC06","PPC07","PPC08","PPC09","PPC10","PPC11","PPC12","PPC13","PPC14","PPC15","PPC16","PPC17","PPC18","PPC19","EEC01","EEC02","EEC03","EEC04","EEC05","EEC06","EEC07","EEC08","EEC09","AEO","MP","MF","ACSF","AG","DV","ACP","AUTEN","BALAN","CRESC","EEC","ACSF_MP","ACSF_MF","ACP_total","ACP_AG","ACP_DV","PPC_total","PPC_AUTEN","PPC_BALAN","PPC_CRESC","EEC_total"
"31",31,1,5,4,4,5,4,5,5,5,5,5,5,5,4,5,4,1,1,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,4,1,3,4,0.314927718073309,1.0231920016277,-0.463448907450433,0.967542799834903,1.37987806425066,0.81400179156019,1.49303352563481,0.493358671742673,0.224048326310259,0.860502795813669,0.489056262418876,5,1,5,5,5,5,4.71428571428571,4.33333333333333,5,4.5
"32",32,2,5,4,4,5,5,4,5,5,1,5,1,2,5,5,5,1,5,1,1,5,5,1,5,5,5,1,5,5,1,5,5,5,5,5,5,5,4,4,4,5,5,3,4,2,1,2,3,3,2,4,5,4,4,5,5,3,4,3,4,2,5,0.208268336046612,-0.481347018862463,-0.392839370602276,-0.119809087213111,0.340323506265887,0.472057791622642,0.474027292077218,-0.119407885995666,-0.0963265732382038,-0.462147219520392,0.000636582847638434,3,1,5,3,5,4,4.42857142857143,3.83333333333333,2.8,4.5
"33",33,1,4,4,5,3,3,3,4,5,3,4,5,5,5,5,3,5,2,3,5,5,5,2,5,1,5,1,5,2,5,5,4,2,5,5,4,3,5,5,3,5,5,5,5,2,4,5,3,3,5,5,3,5,3,3,4,4,4,5,3,3,2,-0.342042545013988,0.553977028127517,0.280118594206526,0.174018489047824,-0.580358100690915,-0.2051983353591,-0.658165404399333,0.293792810350087,-0.0934839527734047,0.115293305926109,-0.541119833040307,4,5,3.5,3,4,4.25,4.85714285714286,3.5,3.75,2.5
"34",34,2,2,2,4,5,2,5,5,1,4,3,1,2,1,4,5,2,2,1,1,4,5,2,2,4,4,1,5,2,4,4,5,4,5,4,5,5,4,4,2,5,5,4,5,1,2,1,4,5,4,5,4,5,1,2,3,1,1,1,5,3,3,-0.372180687414211,-0.780408219676661,-0.677279216707932,-0.201877702669142,-0.666979310180423,-0.252100360470145,-0.658687499236674,0.222609764858879,-0.0132785964250078,-0.0754918080927788,-1.3906744434896,4,1.5,4.5,3,4,4.66666666666667,4.71428571428571,3.5,3.6,2
"35",35,2,4,5,3,5,2,4,5,5,4,4,2,4,2,3,1,4,4,5,3,3,5,4,3,3,5,2,2,2,1,3,3,2,3,2,5,4,3,4,5,5,5,3,5,3,2,1,3,4,2,3,3,4,3,4,4,3,5,2,5,3,3,-0.223190141230913,-0.317412175243744,0.598085860745305,-0.457540047041593,-0.565884561933612,-0.43561673947488,-0.655662388187124,-0.132074217838323,-0.114968819385273,-0.548062511836257,-0.485562890036818,3.5,3.5,3.5,3.5,2.75,3.2,4,3.83333333333333,3,3
"36",36,2,4,4,5,4,2,4,5,5,1,1,5,2,1,5,5,1,1,5,5,5,1,1,5,5,1,1,1,1,5,5,5,5,5,4,3,5,2,3,4,5,5,3,4,3,2,4,3,2,4,4,4,4,4,5,4,3,1,1,3,4,4,-0.151189612885877,-0.629376301106005,0.109850927592275,-0.440964978491408,-0.855359743473296,-0.311318449831175,-0.749341117860534,-0.356746691066566,-0.322472370107759,-0.46750325675489,-0.42420679569965,3,3,3,1,4,3.25,3.85714285714286,3.33333333333333,3.25,4
"37",37,1,4,4,4,5,4,4,4,2,3,3,3,3,2,3,4,2,4,5,5,4,4,4,5,4,3,3,4,4,4,4,5,4,5,5,4,2,4,4,5,4,5,2,4,3,3,4,3,3,2,4,5,5,4,4,4,3,3,3,3,2,2,-0.0803764189847143,-0.532139217108251,0.631933366208072,-0.648838073060925,-0.354089664926843,0.017708774528125,-0.334055873981811,-0.225819991474383,-0.023100540875591,-0.714854516780431,-0.655998562949313,3,3.5,4,3.5,4.5,4.2,4.28571428571429,4.16666666666667,2.33333333333333,3
"38",38,1,4,4,3,4,4,4,5,5,4,2,5,5,4,4,3,3,3,2,3,5,2,3,4,5,5,4,3,4,3,2,3,4,2,5,5,5,3,5,5,4,5,4,5,2,3,4,3,5,4,4,4,3,3,3,4,3,5,1,2,2,3,-0.349844695427792,0.232759263212876,-0.120447385937203,0.217355370143639,-0.187041123500037,-0.193449180630616,-0.17482314963995,0.111018675083412,0.118200552916769,-0.0403170257957532,-0.868578387875304,4,3,3,3,2.75,4,4.42857142857143,4,4,3
"39",39,1,4,5,4,5,4,5,5,4,4,5,4,4,5,5,2,2,3,2,1,5,4,5,4,4,5,3,5,4,4,4,4,3,4,4,4,5,3,4,5,4,5,4,5,2,3,4,4,2,1,5,4,4,5,5,5,5,4,3,4,5,4,0.323115392693843,0.324456426410387,-0.370189588069504,0.417055509639007,-0.170375298711931,-0.0475977954335287,-0.205486319983599,-0.0170459881701885,-0.166874037854256,-0.0477984152011336,0.646387611043929,4.5,1.5,3.5,3.5,4,3.6,4.28571428571429,3.5,4,4.5
"40",40,1,5,5,4,2,5,5,5,3,2,2,2,2,1,3,1,4,2,4,5,4,3,3,2,3,3,3,3,1,2,4,4,5,3,3,5,5,4,5,3,4,5,5,5,4,5,5,5,5,3,5,3,5,5,5,5,5,5,2,5,5,5,0.353971433114831,-0.904074533281568,0.354777312543921,-0.783443717488715,-1.13251139499264,-0.622574525583216,-1.05385286697648,0.461767588014192,0.237941061445201,0.845218392623849,0.976919917766824,2.5,4.5,4,3,3,4.25,4.57142857142857,4,5,5
